OS                           : Linux-4.18.0-425.3.1.el8.x86_64-x86_64-with-glibc2.28
Python Version               : 3.9.12
CuPy Version                 : 10.6.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.21.5
SciPy Version                : 1.7.3
Cython Build Version         : 0.29.24
Cython Runtime Version       : None
CUDA Root                    : /usr/local/cuda
nvcc PATH                    : /usr/local/cuda/bin/nvcc
CUDA Build Version           : 11020
CUDA Driver Version          : 11080
CUDA Runtime Version         : 11040
cuBLAS Version               : (available)
cuFFT Version                : 10502
cuRAND Version               : 10205
cuSOLVER Version             : (11, 2, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 4)
Thrust Version               : 101000
CUB Build Version            : 101000
Jitify Build Version         : 4a37de0
cuDNN Build Version          : (not loaded; try `import cupy.cuda.cudnn` first)
cuDNN Version                : (not loaded; try `import cupy.cuda.cudnn` first)
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-PCIE-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:17:00.0
None
Sizes of ptrain and pdot:
[(40000, 60, 60), (40000, 60, 60)]
len(theta) = 12960000
len(jac) = 144000000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 288000000 rows and 12960000 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   630 -6.33221e-02  7.023e+00  9.439e+00   2.9e-03  8.2e-05  1.6e+04  2.1e+01
   640 -6.34384e-02  6.913e+00  9.147e+00   2.9e-03  8.0e-05  1.7e+04  3.7e+01
   650 -6.35625e-02  6.802e+00  8.859e+00   2.8e-03  7.8e-05  1.7e+04  4.7e+01
   660 -6.36935e-02  6.692e+00  8.577e+00   2.8e-03  7.6e-05  1.7e+04  3.5e+01
   670 -6.38216e-02  6.590e+00  8.321e+00   2.7e-03  7.5e-05  1.7e+04  1.9e+01
   680 -6.39673e-02  6.478e+00  8.039e+00   2.7e-03  7.3e-05  1.7e+04  1.7e+01
   690 -6.40962e-02  6.383e+00  7.807e+00   2.6e-03  7.1e-05  1.7e+04  2.2e+01
   700 -6.42211e-02  6.292e+00  7.585e+00   2.6e-03  7.0e-05  1.7e+04  5.4e+01
   710 -6.43366e-02  6.211e+00  7.393e+00   2.6e-03  6.8e-05  1.7e+04  3.6e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   720 -6.44865e-02  6.108e+00  7.150e+00   2.5e-03  6.7e-05  1.8e+04  5.1e+01
   730 -6.46161e-02  6.023e+00  6.954e+00   2.5e-03  6.5e-05  1.8e+04  1.8e+01
   740 -6.47625e-02  5.929e+00  6.736e+00   2.4e-03  6.4e-05  1.8e+04  2.2e+01
   750 -6.48823e-02  5.853e+00  6.566e+00   2.4e-03  6.3e-05  1.8e+04  2.5e+01
   760 -6.50073e-02  5.775e+00  6.392e+00   2.4e-03  6.2e-05  1.8e+04  3.4e+01
   770 -6.51187e-02  5.708e+00  6.243e+00   2.4e-03  6.0e-05  1.8e+04  4.2e+01
   780 -6.52590e-02  5.623e+00  6.058e+00   2.3e-03  5.9e-05  1.8e+04  3.9e+01
   790 -6.53802e-02  5.552e+00  5.906e+00   2.3e-03  5.8e-05  1.8e+04  2.6e+01
   800 -6.55238e-02  5.470e+00  5.731e+00   2.3e-03  5.7e-05  1.8e+04  2.7e+01
   810 -6.56296e-02  5.410e+00  5.606e+00   2.2e-03  5.6e-05  1.9e+04  3.2e+01
   820 -6.57571e-02  5.340e+00  5.461e+00   2.2e-03  5.5e-05  1.9e+04  4.8e+01
   830 -6.58705e-02  5.279e+00  5.335e+00   2.2e-03  5.4e-05  1.9e+04  3.9e+01
   840 -6.60234e-02  5.197e+00  5.169e+00   2.1e-03  5.3e-05  1.9e+04  2.1e+01
   850 -6.61213e-02  5.146e+00  5.067e+00   2.1e-03  5.2e-05  1.9e+04  2.2e+01
   860 -6.62523e-02  5.077e+00  4.930e+00   2.1e-03  5.1e-05  1.9e+04  3.7e+01
   870 -6.63421e-02  5.031e+00  4.839e+00   2.1e-03  5.0e-05  1.9e+04  5.5e+01
   880 -6.64766e-02  4.961e+00  4.704e+00   2.0e-03  4.9e-05  1.9e+04  3.8e+01
   890 -6.65786e-02  4.908e+00  4.604e+00   2.0e-03  4.8e-05  1.9e+04  3.0e+01
   900 -6.67037e-02  4.845e+00  4.484e+00   2.0e-03  4.7e-05  2.0e+04  2.9e+01
   910 -6.68077e-02  4.794e+00  4.387e+00   2.0e-03  4.7e-05  2.0e+04  2.2e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   920 -6.69103e-02  4.743e+00  4.294e+00   2.0e-03  4.6e-05  2.0e+04  3.6e+01
   930 -6.70115e-02  4.694e+00  4.203e+00   1.9e-03  4.5e-05  2.0e+04  5.5e+01
   940 -6.71143e-02  4.644e+00  4.113e+00   1.9e-03  4.4e-05  2.0e+04  5.5e+01
   950 -6.72219e-02  4.592e+00  4.019e+00   1.9e-03  4.4e-05  2.0e+04  3.9e+01
   960 -6.73367e-02  4.535e+00  3.920e+00   1.9e-03  4.3e-05  2.0e+04  2.3e+01
   970 -6.74221e-02  4.494e+00  3.846e+00   1.9e-03  4.2e-05  2.0e+04  3.6e+01
   980 -6.75176e-02  4.447e+00  3.764e+00   1.8e-03  4.1e-05  2.0e+04  3.7e+01
   990 -6.76041e-02  4.404e+00  3.691e+00   1.8e-03  4.1e-05  2.1e+04  5.8e+01
  1000 -6.76940e-02  4.360e+00  3.616e+00   1.8e-03  4.0e-05  2.1e+04  4.3e+01
  1010 -6.77947e-02  4.311e+00  3.533e+00   1.8e-03  4.0e-05  2.1e+04  4.1e+01
  1020 -6.78856e-02  4.267e+00  3.460e+00   1.8e-03  3.9e-05  2.1e+04  1.7e+01
  1030 -6.79702e-02  4.227e+00  3.393e+00   1.7e-03  3.8e-05  2.1e+04  3.0e+01
  1040 -6.80493e-02  4.189e+00  3.332e+00   1.7e-03  3.8e-05  2.1e+04  3.8e+01
  1050 -6.81307e-02  4.151e+00  3.269e+00   1.7e-03  3.7e-05  2.1e+04  6.2e+01
  1060 -6.82181e-02  4.110e+00  3.203e+00   1.7e-03  3.7e-05  2.1e+04  4.5e+01
  1070 -6.83083e-02  4.067e+00  3.135e+00   1.7e-03  3.6e-05  2.1e+04  2.8e+01
  1080 -6.83854e-02  4.030e+00  3.077e+00   1.7e-03  3.6e-05  2.1e+04  2.4e+01
  1090 -6.84678e-02  3.990e+00  3.015e+00   1.6e-03  3.5e-05  2.2e+04  3.9e+01
  1100 -6.85276e-02  3.961e+00  2.971e+00   1.6e-03  3.5e-05  2.2e+04  4.3e+01
  1110 -6.86140e-02  3.920e+00  2.906e+00   1.6e-03  3.4e-05  2.2e+04  6.9e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1120 -6.86707e-02  3.892e+00  2.864e+00   1.6e-03  3.4e-05  2.2e+04  4.0e+01
