OS                           : Linux-5.14.21-150400.24.81_12.0.86-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:C1:00.0
None
./trajdata100/train_lih_6-31g.npy
Sizes of ptrain and pdot:
[(199996, 11, 11), (199996, 11, 11)]
len(theta) = 14641
len(jac) = 24199516
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 48399032 rows and 14641 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    20000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   720  1.43074e-02  1.496e-01  8.532e-02   4.3e-04  7.1e-05  8.0e+03  5.7e+01
   730  1.45089e-02  1.460e-01  8.244e-02   4.2e-04  7.0e-05  8.0e+03  5.6e+01
   740  1.47201e-02  1.422e-01  7.943e-02   4.1e-04  6.9e-05  8.1e+03  4.9e+01
   750  1.49052e-02  1.390e-01  7.681e-02   4.0e-04  6.8e-05  8.2e+03  3.3e+01
   760  1.50876e-02  1.359e-01  7.429e-02   3.9e-04  6.7e-05  8.2e+03  3.4e+01
   770  1.52742e-02  1.327e-01  7.177e-02   3.8e-04  6.5e-05  8.3e+03  5.1e+01
   780  1.54775e-02  1.294e-01  6.906e-02   3.7e-04  6.4e-05  8.3e+03  4.1e+01
   790  1.56809e-02  1.262e-01  6.639e-02   3.6e-04  6.3e-05  8.4e+03  3.1e+01
   800  1.58320e-02  1.238e-01  6.443e-02   3.6e-04  6.2e-05  8.4e+03  2.2e+01
   810  1.59620e-02  1.218e-01  6.275e-02   3.5e-04  6.1e-05  8.5e+03  3.6e+01
   820  1.61569e-02  1.188e-01  6.022e-02   3.4e-04  5.9e-05  8.5e+03  1.5e+01
   830  1.63832e-02  1.155e-01  5.726e-02   3.3e-04  5.8e-05  8.6e+03  1.7e+01
   840  1.65468e-02  1.131e-01  5.508e-02   3.2e-04  5.6e-05  8.6e+03  5.0e+01
   850  1.66865e-02  1.111e-01  5.320e-02   3.2e-04  5.5e-05  8.7e+03  2.7e+01
   860  1.68436e-02  1.089e-01  5.106e-02   3.1e-04  5.4e-05  8.7e+03  5.3e+01
   870  1.69975e-02  1.068e-01  4.895e-02   3.1e-04  5.2e-05  8.8e+03  4.3e+01
   880  1.71249e-02  1.051e-01  4.720e-02   3.0e-04  5.1e-05  8.8e+03  3.0e+01
   890  1.72715e-02  1.032e-01  4.520e-02   3.0e-04  4.9e-05  8.9e+03  4.0e+01
   900  1.73775e-02  1.020e-01  4.380e-02   2.9e-04  4.8e-05  8.9e+03  2.4e+01
   910  1.74791e-02  1.008e-01  4.249e-02   2.9e-04  4.7e-05  9.0e+03  4.7e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   920  1.76064e-02  9.938e-02  4.096e-02   2.9e-04  4.6e-05  9.0e+03  4.9e+01
   930  1.77090e-02  9.831e-02  3.980e-02   2.8e-04  4.5e-05  9.1e+03  2.4e+01
