OS                           : Linux-5.14.21-150400.24.69_12.0.74-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:41:00.0
None
Size of p_train:
(20000, 29, 29)
len(theta) = 707281
len(jac) = 16816636
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 33633272 rows and 707281 columns
damp = 0.00000000000000e+00

atol = 1.00e-32                 conlim = 1.00e+08

btol = 1.00e-32             maxiter =    20000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   490  1.30337e-01  5.857e+01  1.297e+00   3.6e-01  1.0e-05  2.2e+03  2.9e+01
   500  1.32883e-01  5.856e+01  1.268e+00   3.6e-01  9.7e-06  2.2e+03  3.8e+01
   510  1.36373e-01  5.855e+01  1.233e+00   3.6e-01  9.4e-06  2.2e+03  2.8e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   520  1.39892e-01  5.854e+01  1.203e+00   3.6e-01  9.1e-06  2.3e+03  4.0e+01
   530  1.42909e-01  5.853e+01  1.181e+00   3.6e-01  8.8e-06  2.3e+03  3.1e+01
   540  1.46934e-01  5.852e+01  1.154e+00   3.6e-01  8.6e-06  2.3e+03  3.6e+01
   550  1.51394e-01  5.851e+01  1.127e+00   3.6e-01  8.3e-06  2.3e+03  2.1e+01
   560  1.56307e-01  5.850e+01  1.100e+00   3.6e-01  8.0e-06  2.4e+03  6.0e+01
   570  1.61745e-01  5.849e+01  1.072e+00   3.6e-01  7.7e-06  2.4e+03  6.5e+01
   580  1.65849e-01  5.848e+01  1.051e+00   3.6e-01  7.5e-06  2.4e+03  2.5e+01
   590  1.70393e-01  5.848e+01  1.030e+00   3.6e-01  7.3e-06  2.4e+03  5.3e+01
   600  1.74853e-01  5.847e+01  1.009e+00   3.6e-01  7.1e-06  2.4e+03  5.1e+01
   610  1.79549e-01  5.846e+01  9.870e-01   3.6e-01  6.9e-06  2.5e+03  5.6e+01
   620  1.83471e-01  5.845e+01  9.691e-01   3.6e-01  6.7e-06  2.5e+03  5.7e+01
   630  1.88228e-01  5.844e+01  9.473e-01   3.6e-01  6.5e-06  2.5e+03  3.6e+01
   640  1.93050e-01  5.843e+01  9.252e-01   3.6e-01  6.3e-06  2.5e+03  2.5e+01
   650  1.97131e-01  5.843e+01  9.065e-01   3.6e-01  6.1e-06  2.5e+03  4.4e+01
   660  2.00656e-01  5.842e+01  8.903e-01   3.6e-01  6.0e-06  2.6e+03  3.2e+01
   670  2.03960e-01  5.841e+01  8.755e-01   3.6e-01  5.8e-06  2.6e+03  6.6e+01
   680  2.07924e-01  5.841e+01  8.583e-01   3.6e-01  5.7e-06  2.6e+03  5.0e+01
   690  2.11253e-01  5.840e+01  8.443e-01   3.6e-01  5.5e-06  2.6e+03  5.2e+01
   700  2.14612e-01  5.839e+01  8.307e-01   3.6e-01  5.4e-06  2.6e+03  3.9e+01
   710  2.18817e-01  5.839e+01  8.141e-01   3.6e-01  5.3e-06  2.6e+03  4.2e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   720  2.22104e-01  5.838e+01  8.015e-01   3.6e-01  5.2e-06  2.7e+03  6.4e+01
   730  2.25043e-01  5.838e+01  7.907e-01   3.6e-01  5.1e-06  2.7e+03  5.0e+01
   740  2.28206e-01  5.837e+01  7.796e-01   3.6e-01  4.9e-06  2.7e+03  5.6e+01
   750  2.31392e-01  5.836e+01  7.690e-01   3.6e-01  4.8e-06  2.7e+03  3.2e+01
   760  2.35155e-01  5.836e+01  7.570e-01   3.6e-01  4.7e-06  2.7e+03  6.5e+01
   770  2.38781e-01  5.835e+01  7.459e-01   3.6e-01  4.6e-06  2.8e+03  5.7e+01
   780  2.42429e-01  5.835e+01  7.350e-01   3.6e-01  4.5e-06  2.8e+03  5.9e+01
   790  2.46391e-01  5.834e+01  7.237e-01   3.6e-01  4.4e-06  2.8e+03  9.0e+01
