OS                           : Linux-5.14.21-150400.24.81_12.0.86-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-80GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:41:00.0
None
nprime = 435
npripri = 406
./trajdata100/train_lih_6-311ppgss.npy
Sizes of ptrain and pdot:
[(20000, 29, 29), (20000, 29, 29)]
Loss at truetheta:
6.043601238389638e-18
len(theta) = 707281
len(jac) = 16820000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 33640000 rows and 707281 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    40000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1270  2.97192e-02  7.935e-02  8.747e-03   5.3e-04  2.4e-05  4.6e+03  6.0e+01
  1280  2.97340e-02  7.895e-02  8.615e-03   5.3e-04  2.4e-05  4.6e+03  7.1e+01
  1290  2.97494e-02  7.853e-02  8.481e-03   5.2e-04  2.3e-05  4.7e+03  5.0e+01
  1300  2.97623e-02  7.820e-02  8.372e-03   5.2e-04  2.3e-05  4.7e+03  4.2e+01
  1310  2.97818e-02  7.770e-02  8.212e-03   5.2e-04  2.3e-05  4.7e+03  2.3e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1320  2.97953e-02  7.736e-02  8.105e-03   5.2e-04  2.2e-05  4.7e+03  5.2e+01
  1330  2.98074e-02  7.706e-02  8.011e-03   5.1e-04  2.2e-05  4.7e+03  5.6e+01
  1340  2.98223e-02  7.670e-02  7.898e-03   5.1e-04  2.2e-05  4.7e+03  4.8e+01
  1350  2.98378e-02  7.633e-02  7.785e-03   5.1e-04  2.1e-05  4.8e+03  6.2e+01
  1360  2.98526e-02  7.598e-02  7.678e-03   5.1e-04  2.1e-05  4.8e+03  5.0e+01
  1370  2.98667e-02  7.566e-02  7.579e-03   5.1e-04  2.1e-05  4.8e+03  5.8e+01
  1380  2.98810e-02  7.534e-02  7.482e-03   5.0e-04  2.1e-05  4.8e+03  3.0e+01
  1390  2.98949e-02  7.503e-02  7.390e-03   5.0e-04  2.0e-05  4.8e+03  4.8e+01
  1400  2.99097e-02  7.471e-02  7.293e-03   5.0e-04  2.0e-05  4.9e+03  4.6e+01
  1410  2.99254e-02  7.437e-02  7.194e-03   5.0e-04  2.0e-05  4.9e+03  5.2e+01
  1420  2.99412e-02  7.403e-02  7.096e-03   4.9e-04  2.0e-05  4.9e+03  6.2e+01
  1430  2.99564e-02  7.371e-02  7.003e-03   4.9e-04  1.9e-05  4.9e+03  5.5e+01
  1440  2.99701e-02  7.343e-02  6.921e-03   4.9e-04  1.9e-05  4.9e+03  5.6e+01
  1450  2.99859e-02  7.310e-02  6.827e-03   4.9e-04  1.9e-05  4.9e+03  4.3e+01
  1460  3.00017e-02  7.277e-02  6.734e-03   4.9e-04  1.9e-05  5.0e+03  6.8e+01
  1470  3.00136e-02  7.252e-02  6.666e-03   4.8e-04  1.8e-05  5.0e+03  5.4e+01
  1480  3.00284e-02  7.223e-02  6.584e-03   4.8e-04  1.8e-05  5.0e+03  6.7e+01
  1490  3.00430e-02  7.193e-02  6.503e-03   4.8e-04  1.8e-05  5.0e+03  4.8e+01
  1500  3.00571e-02  7.165e-02  6.426e-03   4.8e-04  1.8e-05  5.0e+03  4.3e+01
  1510  3.00685e-02  7.142e-02  6.366e-03   4.8e-04  1.8e-05  5.0e+03  6.0e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1520  3.00860e-02  7.108e-02  6.274e-03   4.7e-04  1.7e-05  5.1e+03  4.0e+01
  1530  3.01006e-02  7.080e-02  6.200e-03   4.7e-04  1.7e-05  5.1e+03  7.1e+01
  1540  3.01142e-02  7.053e-02  6.132e-03   4.7e-04  1.7e-05  5.1e+03  5.6e+01
  1550  3.01267e-02  7.030e-02  6.070e-03   4.7e-04  1.7e-05  5.1e+03  5.8e+01
  1560  3.01417e-02  7.001e-02  5.998e-03   4.7e-04  1.7e-05  5.1e+03  5.9e+01
  1570  3.01576e-02  6.972e-02  5.922e-03   4.7e-04  1.7e-05  5.1e+03  6.0e+01
  1580  3.01691e-02  6.951e-02  5.868e-03   4.6e-04  1.6e-05  5.2e+03  5.3e+01
